step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
1,0.010142,0.021200,1.596763,-4.876222,-17.001589,-4.961020,-16.916790,-3.814899,-17.001589,-4.961020,-15.751613,-3.968357,-0.041725,3.968102,-8.020284,-2.042399,0.000000,-4.020284,-2.042399,0.000000,-7.968357,-0.041725,7.966754
2,0.010067,0.021294,1.596731,-4.875733,-17.001176,-4.960910,-16.915999,-3.814729,-17.001176,-4.960910,-15.751266,-3.968269,-0.041916,3.968021,-8.020133,-2.042589,0.000000,-4.020133,-2.042589,0.000000,-7.968269,-0.041916,7.966676
3,0.019027,0.046033,1.587764,-4.864024,-17.124265,-5.048156,-16.940133,-3.887851,-17.124265,-5.048156,-15.896092,-4.004121,-0.091778,4.005101,-8.038054,-2.092066,0.000000,-4.038054,-2.092066,0.000000,-8.004121,-0.091778,8.004526
4,0.019404,0.103468,1.651360,-4.759260,-17.250747,-5.173133,-16.836874,-3.646985,-17.250747,-5.173133,-15.402694,-3.877855,-0.200449,3.881409,-8.038807,-2.206936,0.000000,-4.038807,-2.206936,0.000000,-7.877855,-0.200449,7.868435
5,0.026856,0.209890,1.778417,-4.609918,-17.556903,-5.449479,-16.717342,-3.228034,-17.556903,-5.449479,-14.510927,-3.641447,-0.376829,3.640920,-8.053712,-2.419781,0.000000,-4.053712,-2.419781,0.000000,-7.641447,-0.376829,7.555016
6,0.029965,0.331611,1.879628,-4.445000,-17.891303,-5.771444,-16.564858,-2.937467,-17.891303,-5.771444,-13.841541,-3.452037,-0.568601,3.461543,-8.059929,-2.663222,0.000000,-4.059929,-2.663222,0.000000,-7.452037,-0.568601,7.272300
7,0.024298,0.421217,1.970023,-4.310273,-18.092332,-5.995140,-16.407465,-2.670022,-18.027402,-5.995140,-13.212390,-3.271184,-0.685157,3.280269,-7.850490,-3.312010,2.171269,-4.048596,-2.842434,0.000000,-7.271184,-0.685157,6.965716
8,-0.000514,0.520470,2.029732,-4.105393,-18.185216,-6.187272,-16.103337,-2.474051,-18.018253,-6.187272,-12.700017,-3.112983,-0.833988,3.160318,-7.636947,-3.773599,3.480707,-3.998972,-3.040940,0.000000,-7.112983,-0.833988,6.746416
9,-0.029002,0.606158,2.142242,-3.917446,-18.226071,-6.342078,-15.801440,-2.122885,-17.591280,-6.342078,-11.843484,-2.860299,-0.894555,2.889674,-7.080104,-4.552719,6.707076,-3.941997,-3.212316,0.000000,-6.860299,-0.894555,6.254153
10,-0.075153,0.693094,2.189826,-3.676729,-18.148495,-6.449106,-15.376118,-1.943049,-17.341292,-6.449106,-11.321458,-2.689205,-1.015073,2.779192,-6.805901,-4.851276,7.517487,-3.849695,-3.386189,0.000000,-6.689205,-1.015073,6.036960
