step,x,y,theta,h0,h1,h2,h3,V0,V1,V2,V3,dVdx0,dVdy0,dVdt0,dVdx1,dVdy1,dVdt1,dVdx2,dVdy2,dVdt2,dVdx3,dVdy3,dVdt3
1,0.010142,0.021200,1.596763,-4.876222,-17.001589,-4.961020,-16.916790,-3.814899,-17.001589,-4.961020,-15.751613,-3.968357,-0.041725,3.968102,-8.020284,-2.042399,0.000000,-4.020284,-2.042399,0.000000,-7.968357,-0.041725,7.966754
2,0.010067,0.021294,1.596731,-4.875733,-17.001176,-4.960910,-16.915999,-3.814729,-17.001176,-4.960910,-15.751266,-3.968269,-0.041916,3.968021,-8.020133,-2.042589,0.000000,-4.020133,-2.042589,0.000000,-7.968269,-0.041916,7.966676
3,0.019027,0.046033,1.587764,-4.864024,-17.124265,-5.048156,-16.940133,-3.887851,-17.124265,-5.048156,-15.896092,-4.004121,-0.091778,4.005101,-8.038054,-2.092066,0.000000,-4.038054,-2.092066,0.000000,-8.004121,-0.091778,8.004526
4,0.022225,0.102756,1.645522,-4.771941,-17.271868,-5.182967,-16.860842,-3.680519,-17.271868,-5.182967,-15.470796,-3.895139,-0.199932,3.899195,-8.044451,-2.205513,0.000000,-4.044451,-2.205513,0.000000,-7.895139,-0.199932,7.888032
5,0.035322,0.205843,1.748205,-4.650720,-17.615379,-5.474092,-16.792008,-3.368949,-17.615379,-5.474092,-14.804316,-3.717684,-0.380294,3.726446,-8.070644,-2.411686,0.000000,-4.070644,-2.411686,0.000000,-7.717684,-0.380294,7.663663
6,0.067270,0.305862,1.826968,-4.632932,-18.125460,-5.856380,-16.902011,-3.242355,-18.125460,-5.856380,-14.497919,-3.627782,-0.546459,3.647858,-8.134540,-2.611724,0.000000,-4.134540,-2.611724,0.000000,-7.627782,-0.546459,7.517327
7,0.086429,0.400895,1.867335,-4.589614,-18.538912,-6.193195,-16.935332,-3.224344,-18.538912,-6.193195,-14.401216,-3.588436,-0.714498,3.640598,-8.172859,-2.801790,0.000000,-4.172859,-2.801790,0.000000,-7.588436,-0.714498,7.466013
8,0.085704,0.516838,1.905859,-4.461107,-18.871273,-6.528457,-16.803922,-3.176843,-18.871273,-6.528457,-14.204345,-3.513751,-0.922455,3.621680,-8.171408,-3.033675,0.000000,-4.171408,-3.033675,0.000000,-7.513751,-0.922455,7.399239
9,0.077734,0.632286,1.976470,-4.329692,-19.169771,-6.858835,-16.640629,-3.014048,-19.157811,-6.858835,-13.746432,-3.366192,-1.102245,3.527968,-8.069470,-3.464802,0.956861,-4.155468,-3.264571,0.000000,-7.366192,-1.102245,7.203315
10,0.050410,0.746877,2.006021,-4.145751,-19.334899,-7.133260,-16.347391,-2.957737,-19.319618,-7.133260,-13.472920,-3.257591,-1.307305,3.505082,-7.996392,-3.718349,1.092124,-4.100820,-3.493754,0.000000,-7.257591,-1.307305,7.132183
