t,q0,qx,qy,qz,wx,wy,wz,q_FR_hip,q_FR_thigh,q_FR_calf,q_FL_hip,q_FL_thigh,q_FL_calf,q_RR_hip,q_RR_thigh,q_RR_calR,q_RL_hip,q_RL_thigh,q_RL_calR,v_FR_hip,v_FR_thigh,v_FR_calf,v_FL_hip,v_FL_thigh,v_FL_calf,v_RR_hip,v_RR_thigh,v_RR_calR,v_RL_hip,v_RL_thigh,v_RL_calR,tau_FR_hip,tau_FR_thigh,tau_FR_calf,tau_FL_hip,tau_FL_thigh,tau_FL_calf,tau_RR_hip,tau_RR_thigh,tau_RR_calR,tau_RL_hip,tau_RL_thigh,tau_RL_calR,qref_FR_hip,qref_FR_thigh,qref_FR_calf,qref_FL_hip,qref_FL_thigh,qref_FL_calf,qref_RR_hip,qref_RR_thigh,qref_RR_calR,qref_RL_hip,qref_RL_thigh,qref_RL_calR,uref_FR_hip,uref_FR_thigh,uref_FR_calf,uref_FL_hip,uref_FL_thigh,uref_FL_calf,uref_RR_hip,uref_RR_thigh,uref_RR_calR,uref_RL_hip,uref_RL_thigh,uref_RL_calR,Kp_FR_hip,Kp_FR_thigh,Kp_FR_calf,Kp_FL_hip,Kp_FL_thigh,Kp_FL_calf,Kp_RR_hip,Kp_RR_thigh,Kp_RR_calR,Kp_RL_hip,Kp_RL_thigh,Kp_RL_calR,Kd_FR_hip,Kd_FR_thigh,Kd_FR_calf,Kd_FL_hip,Kd_FL_thigh,Kd_FL_calf,Kd_RR_hip,Kd_RR_thigh,Kd_RR_calR,Kd_RL_hip,Kd_RL_thigh,Kd_RL_calR,eulerX,eulerY,eulerZ,forceFR,forceFL,forceRR,forceRL,
0.010000, 0.707106, -0.001023, 0.001024, 0.707106, 0.000057, 0.493759, 0.000022, -0.000477, 0.023793, -0.087582, 0.000477, 0.023793, -0.087582, 0.001001, 0.023741, -0.087579, -0.001002, 0.023741, -0.087579, -0.057225, 3.811776, -14.078158, 0.057102, 3.811763, -14.078158, 0.168535, 3.803783, -14.077628, -0.168626, 3.803770, -14.077629, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.002895, 0.000000, 1.570796, 0, 0, 0, 0, 
0.010000, 0.707106, -0.001023, 0.001024, 0.707106, 0.000057, 0.493759, 0.000022, -0.000477, 0.023793, -0.087582, 0.000477, 0.023793, -0.087582, 0.001001, 0.023741, -0.087579, -0.001002, 0.023741, -0.087579, -0.057225, 3.811776, -14.078158, 0.057102, 3.811763, -14.078158, 0.168535, 3.803783, -14.077628, -0.168626, 3.803770, -14.077629, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.002895, 0.000000, 1.570796, 0, 0, 0, 0, 
0.020000, 0.707100, -0.003066, 0.003067, 0.707100, 0.000101, 0.613442, 0.000009, -0.000826, 0.067134, -0.249018, 0.000824, 0.067134, -0.249018, 0.003123, 0.067001, -0.249010, -0.003125, 0.067001, -0.249010, -0.018319, 4.498339, -16.911570, 0.018259, 4.498334, -16.911570, 0.239069, 4.490957, -16.911213, -0.239241, 4.490952, -16.911213, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.008673, 0.000001, 1.570797, 0, 0, 0, 0, 
0.020000, 0.707100, -0.003066, 0.003067, 0.707100, 0.000101, 0.613442, 0.000009, -0.000826, 0.067134, -0.249018, 0.000824, 0.067134, -0.249018, 0.003123, 0.067001, -0.249010, -0.003125, 0.067001, -0.249010, -0.018319, 4.498339, -16.911570, 0.018259, 4.498334, -16.911570, 0.239069, 4.490957, -16.911213, -0.239241, 4.490952, -16.911213, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.008673, 0.000001, 1.570797, 0, 0, 0, 0, 
0.030000, 0.707087, -0.005224, 0.005226, 0.707088, 0.000105, 0.606864, -0.000001, -0.000878, 0.110950, -0.416084, 0.000876, 0.110950, -0.416084, 0.005646, 0.110759, -0.416080, -0.005649, 0.110759, -0.416080, 0.005855, 4.269791, -16.510498, -0.005911, 4.269791, -16.510498, 0.263352, 4.265581, -16.511929, -0.263535, 4.265581, -16.511929, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.014779, 0.000002, 1.570797, 0, 0, 0, 0, 
0.030000, 0.707087, -0.005224, 0.005226, 0.707088, 0.000105, 0.606864, -0.000001, -0.000878, 0.110950, -0.416084, 0.000876, 0.110950, -0.416084, 0.005646, 0.110759, -0.416080, -0.005649, 0.110759, -0.416080, 0.005855, 4.269791, -16.510498, -0.005911, 4.269791, -16.510498, 0.263352, 4.265581, -16.511929, -0.263535, 4.265581, -16.511929, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.014779, 0.000002, 1.570797, 0, 0, 0, 0, 
0.040000, 0.707068, -0.007351, 0.007353, 0.707069, 0.000099, 0.596349, -0.000003, -0.000715, 0.152325, -0.578952, 0.000712, 0.152325, -0.578952, 0.008385, 0.152111, -0.578979, -0.008390, 0.152110, -0.578979, 0.024899, 4.014182, -16.082201, -0.024939, 4.014183, -16.082199, 0.282678, 4.013532, -16.086950, -0.282849, 4.013533, -16.086950, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.020795, 0.000003, 1.570797, 0, 0, 0, 0, 
0.040000, 0.707068, -0.007351, 0.007353, 0.707069, 0.000099, 0.596349, -0.000003, -0.000715, 0.152325, -0.578952, 0.000712, 0.152325, -0.578952, 0.008385, 0.152111, -0.578979, -0.008390, 0.152110, -0.578979, 0.024899, 4.014182, -16.082201, -0.024939, 4.014183, -16.082199, 0.282678, 4.013532, -16.086950, -0.282849, 4.013533, -16.086950, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.020795, 0.000003, 1.570797, 0, 0, 0, 0, 
0.050000, 0.707044, -0.009435, 0.009438, 0.707044, 0.000088, 0.583252, -0.000002, -0.000391, 0.191031, -0.737476, 0.000388, 0.191031, -0.737476, 0.011289, 0.190830, -0.737575, -0.011297, 0.190830, -0.737575, 0.038260, 3.737687, -15.643453, -0.038277, 3.737689, -15.643453, 0.296583, 3.740958, -15.653186, -0.296734, 3.740959, -15.653188, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.026692, 0.000004, 1.570797, 0, 0, 0, 0, 
0.050000, 0.707044, -0.009435, 0.009438, 0.707044, 0.000088, 0.583252, -0.000002, -0.000391, 0.191031, -0.737476, 0.000388, 0.191031, -0.737476, 0.011289, 0.190830, -0.737575, -0.011297, 0.190830, -0.737575, 0.038260, 3.737687, -15.643453, -0.038277, 3.737689, -15.643453, 0.296583, 3.740958, -15.653186, -0.296734, 3.740959, -15.653188, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, -0.916298, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.026692, 0.000004, 1.570797, 0, 0, 0, 0, 
